id,period,year,t,corridor,src,dst,firm,firm_type,access_point,speed_band,speed_hours,transparent,network_coverage,pickup_method,payment_instrument,fee_pct_200,fx_margin_200,total_cost_200,fee_pct_500,fx_margin_500,total_cost_500
27,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,Equatorial Commercial Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,8.34,3.0,11.34,3.34,3.0,6.34
17,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,Development Bank of Kenya,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,11.11,0.25,11.36,4.44,0.25,4.69
37,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,11.12,1.83,12.95,4.45,1.83,6.28
31,2012_1Q,2012,2012.0,KENRWA,KEN,RWA,Fina Direct,Bank,Not available,Same day,12.0,yes,Nationwide,bank account,,8.33,5.09,13.42,3.33,5.09,8.42
107,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,UBA Africash,Bank,Not available,Same day,12.0,yes,Major cities,cash,,3.19,0.25,3.44,2.06,0.25,2.31
113,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,United Bank for Africa (UBA),Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,3.19,0.25,3.44,2.06,0.25,2.31
119,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,Western Union,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,cash,,2.0,3.0,5.0,2.0,3.0,5.0
57,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,ABC Bank,Money Transfer Operator,Not available,2 days,48.0,yes,Nationwide,bank account,,8.33,0.17,8.5,3.33,0.17,3.5
101,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,Posta Kenya,Post office,Not available,3-5 days,96.0,yes,Nationwide,cash,,8.33,1.25,9.58,5.56,1.25,6.81
95,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,cash,,6.109999999999999,3.59,9.7,4.890000000000001,3.59,8.48
61,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,Citibank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,8.34,1.83,10.17,3.34,1.83,5.17
71,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,Ecobank,Bank,Not available,Same day,12.0,yes,Major cities,cash,,6.74,3.59,10.33,6.66,3.59,10.25
77,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,Equatorial Commercial Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,8.34,3.0,11.34,3.34,3.0,6.34
65,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,Development Bank of Kenya,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,11.11,0.25,11.36,4.44,0.25,4.69
89,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,11.12,1.83,12.95,4.45,1.83,6.28
